,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Aspidosperma excelsum,"""['Aspidocarpine']""",KNApSAcK,Aspidosperma excelsum,Aspidosperma excelsum,77367-1,77367-1,Species
1,Aspidosperma megalocarpon,"""['Aspidocarpine']""",KNApSAcK,Aspidosperma megalocarpon,Aspidosperma megalocarpon,77405-1,77405-1,Species
2,Aspidosperma subincanum,"""['Ellipticine']""",KNApSAcK,Aspidosperma subincanum,Aspidosperma subincanum,77465-1,77465-1,Species
3,Callichilia barteri,"""['Voacamine']""",KNApSAcK,Callichilia barteri,Callichilia barteri,77635-1,77635-1,Species
4,Cryptolepis sanguinolenta,"""['Cryptolepine']""",KNApSAcK,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,95951-1,Species
5,Dyera costulata,"""['Ochrolifuanine A']""",KNApSAcK,Dyera costulata,Dyera costulata,78323-1,78323-1,Species
6,Geissospermum argenteum,"""['Aspidocarpine']""",KNApSAcK,Geissospermum argenteum,Geissospermum argenteum,108063-2,108063-2,Species
7,Ochrosia acuminata,"""['Ellipticine']""",KNApSAcK,Ochrosia acuminata,Ochrosia acuminata,80487-1,80487-1,Species
8,Ochrosia elliptica,"""['Ellipticine']""",KNApSAcK,Ochrosia elliptica,Ochrosia elliptica,80500-1,80500-1,Species
9,Ochrosia kilneri,"""['Ochrolifuanine A']""",KNApSAcK,Ochrosia kilneri,Ochrosia kilneri,80515-1,80515-1,Species
10,Ochrosia lifuana,"""['Ochrolifuanine A']""",KNApSAcK,Ochrosia lifuana,Ochrosia lifuana,80519-1,80519-1,Species
11,Ochrosia miana,"""['Ochrolifuanine A']""",KNApSAcK,Ochrosia miana,Ochrosia miana,80524-1,80524-1,Species
12,Ochrosia moorei,"""['Ellipticine']""",KNApSAcK,Ochrosia moorei,Ochrosia moorei,80527-1,80527-1,Species
13,Ochrosia vitiensis,"""['Ellipticine']""",KNApSAcK,Ochrosia vitiensis,Ochrosia vitiensis,80554-1,80554-1,Species
14,Tabernaemontana arborea,"""['Voacamine']""",KNApSAcK,Tabernaemontana arborea,Tabernaemontana arborea,248839-2,248839-2,Species
15,Tabernaemontana catharinensis,"""['Voacamine']""",KNApSAcK,Tabernaemontana catharinensis,Tabernaemontana catharinensis,82043-1,82043-1,Species
16,Tabernaemontana oppositifolia,"""['Voacamine']""",KNApSAcK,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia,248887-2,248887-2,Species
17,Tabernaemontana pachysiphon,"""['Voacamine']""",KNApSAcK,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon,82263-1,82263-1,Species
18,Voacanga africana,"""['Voacamine']""",KNApSAcK,Voacanga africana,Voacanga africana,82719-1,82719-1,Species
19,Voacanga globosa,"""['Voacamine']""",KNApSAcK,Voacanga globosa,Voacanga globosa,82738-1,82738-1,Species
20,Voacanga grandifolia,"""['Voacamine']""",KNApSAcK,Voacanga grandifolia,Voacanga grandifolia,82740-1,82740-1,Species
21,Voacanga thouarsii,"""['Voacamine']""",KNApSAcK,Voacanga thouarsii,Voacanga thouarsii,82760-1,82760-1,Species
22,Carapichea affinis,"""['Cephaeline', 'Emetine']""",KNApSAcK,Carapichea affinis,Carapichea affinis,1214821-2,1214821-2,Species
23,Carapichea ipecacuanha,"""['Cephaeline', 'Emetine', 'Tubulosine']""",KNApSAcK,Carapichea ipecacuanha,Carapichea ipecacuanha,1214950-2,1214950-2,Species
24,Carapichea klugii,"""['Cephaeline', 'Emetine', 'Klugine']""",KNApSAcK,Carapichea klugii,Carapichea klugii,77132654-1,77132654-1,Species
25,Ciliosemina pedunculata,"""['Quinine']""",KNApSAcK,Ciliosemina pedunculata,Ciliosemina pedunculata,77065717-1,77065717-1,Species
26,Cinchona calisaya,"""['Quinine']""",KNApSAcK,Cinchona calisaya,Cinchona calisaya,746718-1,746718-1,Species
27,Cinchona officinalis,"""['Quinine']""",KNApSAcK,Cinchona officinalis,Cinchona officinalis,58723-2,58723-2,Species
28,Cinchona pubescens,"""['Quinine']""",KNApSAcK,Cinchona pubescens,Cinchona pubescens,746872-1,746872-1,Species
29,Pogonopus speciosus,"""['Tubulosine']""",KNApSAcK,Pogonopus speciosus,Pogonopus speciosus,204802-2,204802-2,Species
30,Pogonopus tubulosus,"""['Tubulosine']""",KNApSAcK,Pogonopus tubulosus,Pogonopus tubulosus,204805-2,204805-2,Species
